2025-10-28 01:15:28, MOVE, v:1, k:poo@motoca, mode:PICK
2025-10-28 01:15:29, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:5
2025-10-28 01:17:23, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:7
2025-10-28 01:25:25, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:13
2025-10-28 01:35:49, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:26
2025-10-28 01:36:32, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:27
2025-10-28 01:39:09, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:33
2025-10-28 01:42:38, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:40
2025-10-28 01:54:59, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:52
2025-10-28 02:02:44, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:63
2025-10-28 02:08:08, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:70
2025-10-28 02:09:54, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:77
2025-10-28 02:12:40, EXEC, v:1, k:poo@motoca, mode:FULL, rate:0, size:83
2025-10-28 02:16:18, EXEC, v:1, k:poo@motoca, mode:FULL, rate:100, size:91
